dataset,n_samples,n_features,lookahead_depth,n_estimators,fit_time,accuracy
iris,150,4,1,5,0.004919666331261396,0.9473684210526315
iris,150,4,1,10,0.007898374926298857,0.9473684210526315
iris,150,4,1,25,0.030554250348359346,0.9473684210526315
iris,150,4,1,50,0.056237583979964256,0.9473684210526315
iris,150,4,1,100,0.07984224986284971,0.9473684210526315
iris,150,4,2,1,0.029782334342598915,0.8421052631578947
iris,150,4,2,3,0.09016475034877658,0.9473684210526315
iris,150,4,2,5,0.14238175004720688,0.9473684210526315
iris,150,4,2,10,0.2331474581733346,0.9473684210526315
wine_recognition,178,13,1,5,0.017059207893908024,0.8888888888888888
wine_recognition,178,13,1,10,0.032168082892894745,0.9111111111111111
wine_recognition,178,13,1,25,0.08184391586109996,0.9777777777777777
wine_recognition,178,13,1,50,0.16527879191562533,0.9555555555555556
wine_recognition,178,13,1,100,0.35227204067632556,0.9777777777777777
wine_recognition,178,13,2,1,1.3385522500611842,0.9555555555555556
wine_recognition,178,13,2,3,4.080143082886934,0.9333333333333333
wine_recognition,178,13,2,5,7.757296457886696,0.9555555555555556
wine_recognition,178,13,2,10,14.824448874685913,0.9777777777777777
ecoli,327,7,1,5,0.01285658311098814,0.8536585365853658
ecoli,327,7,1,10,0.02611629106104374,0.8414634146341463
ecoli,327,7,1,25,0.062410791870206594,0.8292682926829268
ecoli,327,7,1,50,0.12262437492609024,0.8414634146341463
ecoli,327,7,1,100,0.26270650001242757,0.8414634146341463
ecoli,327,7,2,1,0.32438029209151864,0.8414634146341463
ecoli,327,7,2,3,1.0552745410241187,0.8414634146341463
ecoli,327,7,2,5,2.220674874726683,0.8414634146341463
ecoli,327,7,2,10,3.279796250164509,0.8170731707317073
haberman,306,3,1,5,0.008625166956335306,0.7272727272727273
haberman,306,3,1,10,0.014824707992374897,0.7662337662337663
haberman,306,3,1,25,0.038883667439222336,0.7662337662337663
haberman,306,3,1,50,0.06056162528693676,0.7402597402597403
haberman,306,3,1,100,0.12847391702234745,0.7532467532467533
haberman,306,3,2,1,0.03159758308902383,0.7272727272727273
haberman,306,3,2,3,0.09590016677975655,0.7402597402597403
haberman,306,3,2,5,0.1582297091372311,0.7012987012987013
haberman,306,3,2,10,0.30578749999403954,0.7272727272727273
balance_scale,625,4,1,5,0.005381875205785036,0.8280254777070064
balance_scale,625,4,1,10,0.01029383298009634,0.802547770700637
balance_scale,625,4,1,25,0.02719179168343544,0.821656050955414
balance_scale,625,4,1,50,0.05428762501105666,0.8280254777070064
balance_scale,625,4,1,100,0.1113795000128448,0.8407643312101911
balance_scale,625,4,2,1,0.006024250295013189,0.7197452229299363
balance_scale,625,4,2,3,0.016805707942694426,0.7961783439490446
balance_scale,625,4,2,5,0.05730779096484184,0.802547770700637
balance_scale,625,4,2,10,0.07572416681796312,0.8089171974522293
ionosphere,351,34,1,5,0.24812270887196064,0.8863636363636364
ionosphere,351,34,1,10,0.40416370797902346,0.8977272727272727
ionosphere,351,34,1,25,0.9604866253212094,0.8863636363636364
ionosphere,351,34,1,50,1.6302102920599282,0.875
ionosphere,351,34,1,100,3.205759625416249,0.8863636363636364
ionosphere,351,34,2,1,47.99804808292538,0.8522727272727273
ionosphere,351,34,2,3,144.69673237530515,0.8522727272727273
