dataset,shard,estimated_cost_s
prnn_synth,2,2968.506865
analcatdata_happiness,1,7.216261
confidence,3,121.423577
analcatdata_asbestos,3,9.32438
lupus,3,61.983173
analcatdata_boxing1,4,4.773797
analcatdata_boxing2,3,5.804229
haberman,3,244.224948
analcatdata_aids,1,26.509226
iris,2,185.386755
hayes_roth,3,2.466438
analcatdata_lawsuit,1,1326.037175
balance_scale,0,9.644136
analcatdata_dmft,0,10.501239
parity5,0,0.891562
tae,4,130.685259
new_thyroid,4,3362.587988
bupa,2,5415.459017
analcatdata_germangss,1,105.526902
irish,0,765.380901
analcatdata_bankruptcy,0,365.67153
analcatdata_creditscore,0,213.21586
mux6,1,1.016524
corral,2,0.937557
monk3,2,5.155432
monk1,1,5.157639
monk2,0,6.060571
appendicitis,4,4070.276796
cloud,3,4713.829708
ecoli,0,10184.641373
penguins,1,8875.562765
led7,2,12.05184
postoperative_patient_data,0,4.340398
analcatdata_japansolvent,4,1270.379061
breast_cancer,4,42.380024
threeOf9,3,4.124085
tic_tac_toe,1,33.618321
xd6,2,6.892868
analcatdata_cyyoung9302,3,2350.488513
analcatdata_cyyoung8092,4,2509.362301
parity5+5,4,9.133832
mofn_3_7_10,2,10.449931
analcatdata_fraud,4,3.653066
labor,4,244.534931
lymphography,0,77.126539
spect,0,32.066834
dermatology,3,3228.542662
soybean,2,1893.79654
flags,1,318.484238
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,2,518.364873
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,2,401.355443
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,3,439.783813
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,1,440.543163
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,3,489.035351
car_evaluation,4,24.364797
led24,2,251.189493
nursery,1,529.921348
