dataset,n_samples,n_features,schedule_id,label,kind,effective_k,depth_1_trees,depth_2_trees,depth_3_trees,n_estimators,fit_time_s,accuracy
prnn_synth,250,2,pure_k1_5,"k=1, T=5",pure_size,1.0,5,0,0,5,0.00938510000705719,0.9047619047619048
prnn_synth,250,2,pure_k1_10,"k=1, T=10",pure_size,1.0,10,0,0,10,0.01877020001411438,0.9206349206349206
prnn_synth,250,2,pure_k1_25,"k=1, T=25",pure_size,1.0,25,0,0,25,0.04692550003528595,0.9206349206349206
prnn_synth,250,2,pure_k1_50,"k=1, T=50",pure_size,1.0,50,0,0,50,0.0938510000705719,0.9047619047619048
prnn_synth,250,2,pure_k1_100,"k=1, T=100",pure_size,1.0,100,0,0,100,0.1877020001411438,0.9047619047619048
prnn_synth,250,2,pure_k2_5,"k=2, T=5",pure_size,2.0,0,5,0,5,0.7324073479045182,0.9047619047619048
prnn_synth,250,2,pure_k2_10,"k=2, T=10",pure_size,2.0,0,10,0,10,1.4648146958090364,0.9206349206349206
prnn_synth,250,2,pure_k2_25,"k=2, T=25",pure_size,2.0,0,25,0,25,3.6620367395225912,0.9206349206349206
prnn_synth,250,2,pure_k2_50,"k=2, T=50",pure_size,2.0,0,50,0,50,7.3240734790451825,0.9365079365079365
prnn_synth,250,2,pure_k2_100,"k=2, T=100",pure_size,2.0,0,100,0,100,14.648146958090365,0.9365079365079365
prnn_synth,250,2,pure_k3_1,"k=3, T=1",pure_size,3.0,0,0,1,1,14.694175833370537,0.9047619047619048
prnn_synth,250,2,pure_k3_3,"k=3, T=3",pure_size,3.0,0,0,3,3,44.08252750011161,0.8253968253968254
prnn_synth,250,2,pure_k3_5,"k=3, T=5",pure_size,3.0,0,0,5,5,73.47087916685268,0.873015873015873
prnn_synth,250,2,mix_1_95_2_05,95% k=1 + 5% k=2,mixture,1.05,95,5,0,100,0.9107242480386049,0.9206349206349206
prnn_synth,250,2,mix_1_90_2_10,90% k=1 + 10% k=2,mixture,1.1,90,10,0,100,1.633746495936066,0.9206349206349206
prnn_synth,250,2,mix_1_75_2_25,75% k=1 + 25% k=2,mixture,1.25,75,25,0,100,3.802813239628449,0.9206349206349206
prnn_synth,250,2,mix_1_50_2_50,50% k=1 + 50% k=2,mixture,1.5,50,50,0,100,7.417924479115754,0.9206349206349206
prnn_synth,250,2,mix_1_95_3_05,95% k=1 + 5% k=3,mixture,1.1,95,0,5,100,73.64919606698678,0.9206349206349206
prnn_synth,250,2,mix_2_95_3_05,95% k=2 + 5% k=3,mixture,2.05,0,95,5,100,87.38661877703854,0.9206349206349206
analcatdata_happiness,60,3,pure_k1_5,"k=1, T=5",pure_size,1.0,5,0,0,5,0.0030415042070671915,0.5333333333333333
analcatdata_happiness,60,3,pure_k1_10,"k=1, T=10",pure_size,1.0,10,0,0,10,0.006083008414134383,0.5333333333333333
analcatdata_happiness,60,3,pure_k1_25,"k=1, T=25",pure_size,1.0,25,0,0,25,0.015207521035335958,0.5333333333333333
analcatdata_happiness,60,3,pure_k1_50,"k=1, T=50",pure_size,1.0,50,0,0,50,0.030415042070671916,0.5333333333333333
analcatdata_happiness,60,3,pure_k1_100,"k=1, T=100",pure_size,1.0,100,0,0,100,0.06083008414134383,0.4666666666666667
analcatdata_happiness,60,3,pure_k2_5,"k=2, T=5",pure_size,2.0,0,5,0,5,0.013382633333094418,0.3333333333333333
analcatdata_happiness,60,3,pure_k2_10,"k=2, T=10",pure_size,2.0,0,10,0,10,0.026765266666188836,0.4666666666666667
analcatdata_happiness,60,3,pure_k2_25,"k=2, T=25",pure_size,2.0,0,25,0,25,0.06691316666547209,0.4666666666666667
analcatdata_happiness,60,3,pure_k2_50,"k=2, T=50",pure_size,2.0,0,50,0,50,0.13382633333094418,0.4
analcatdata_happiness,60,3,pure_k2_100,"k=2, T=100",pure_size,2.0,0,100,0,100,0.26765266666188836,0.4666666666666667
analcatdata_happiness,60,3,pure_k3_1,"k=3, T=1",pure_size,3.0,0,0,1,1,0.03279647501185536,0.26666666666666666
analcatdata_happiness,60,3,pure_k3_3,"k=3, T=3",pure_size,3.0,0,0,3,3,0.0983894250355661,0.3333333333333333
analcatdata_happiness,60,3,pure_k3_5,"k=3, T=5",pure_size,3.0,0,0,5,5,0.16398237505927682,0.26666666666666666
analcatdata_happiness,60,3,mix_1_95_2_05,95% k=1 + 5% k=2,mixture,1.05,95,5,0,100,0.07117121326737105,0.4666666666666667
analcatdata_happiness,60,3,mix_1_90_2_10,90% k=1 + 10% k=2,mixture,1.1,90,10,0,100,0.08151234239339829,0.4666666666666667
analcatdata_happiness,60,3,mix_1_75_2_25,75% k=1 + 25% k=2,mixture,1.25,75,25,0,100,0.11253572977147996,0.4666666666666667
analcatdata_happiness,60,3,mix_1_50_2_50,50% k=1 + 50% k=2,mixture,1.5,50,50,0,100,0.1642413754016161,0.4
analcatdata_happiness,60,3,mix_1_95_3_05,95% k=1 + 5% k=3,mixture,1.1,95,0,5,100,0.22177095499355345,0.4666666666666667
analcatdata_happiness,60,3,mix_2_95_3_05,95% k=2 + 5% k=3,mixture,2.05,0,95,5,100,0.41825240838807076,0.4666666666666667
confidence,72,3,pure_k1_5,"k=1, T=5",pure_size,1.0,5,0,0,5,0.003296968759968877,0.8333333333333334
