schedule_id,label,kind,effective_k,depth_1_trees,depth_2_trees,depth_3_trees,n_estimators,datasets,mean_accuracy,median_accuracy,mean_fit_time_s,median_fit_time_s,accuracy_gain_vs_k1_100_pp,time_ratio_vs_k1_100
mix_1_50_2_50,50% k=1 + 50% k=2,mixture,1.5,50,50,0,100,57,0.747758,0.769231,3.524501,1.108752,2.482,16.741
mix_1_75_2_25,75% k=1 + 25% k=2,mixture,1.25,75,25,0,100,57,0.742813,0.75,1.867514,0.58898,1.988,8.871
mix_1_90_2_10,90% k=1 + 10% k=2,mixture,1.1,90,10,0,100,57,0.733612,0.753247,0.873322,0.321844,1.068,4.148
mix_1_95_2_05,95% k=1 + 5% k=2,mixture,1.05,95,5,0,100,57,0.728562,0.753247,0.541925,0.214514,0.563,2.574
mix_1_95_3_05,95% k=1 + 5% k=3,mixture,1.1,95,0,5,100,57,0.729004,0.75,25.440465,3.019603,0.607,120.841
mix_2_95_3_05,95% k=2 + 5% k=3,mixture,2.05,0,95,5,100,57,0.751743,0.777778,31.737015,5.008902,2.881,150.75
pure_k1_10,"k=1, T=10",pure_size,1.0,10,0,0,10,57,0.710182,0.755396,0.021053,0.013076,-1.275,0.1
pure_k1_100,"k=1, T=100",pure_size,1.0,100,0,0,100,57,0.722934,0.727273,0.210528,0.130759,0.0,1.0
pure_k1_25,"k=1, T=25",pure_size,1.0,25,0,0,25,57,0.722536,0.736111,0.052632,0.03269,-0.04,0.25
pure_k1_5,"k=1, T=5",pure_size,1.0,5,0,0,5,57,0.712846,0.75,0.010526,0.006538,-1.009,0.05
pure_k1_50,"k=1, T=50",pure_size,1.0,50,0,0,50,57,0.722746,0.736111,0.105264,0.065379,-0.019,0.5
pure_k2_10,"k=2, T=10",pure_size,2.0,0,10,0,10,57,0.740725,0.763889,0.683847,0.214829,1.779,3.248
pure_k2_100,"k=2, T=100",pure_size,2.0,0,100,0,100,57,0.751305,0.777778,6.838475,2.148295,2.837,32.482
pure_k2_25,"k=2, T=25",pure_size,2.0,0,25,0,25,57,0.747531,0.777778,1.709619,0.537074,2.46,8.121
pure_k2_5,"k=2, T=5",pure_size,2.0,0,5,0,5,57,0.730927,0.7575,0.341924,0.107415,0.799,1.624
pure_k2_50,"k=2, T=50",pure_size,2.0,0,50,0,50,57,0.749898,0.777778,3.419237,1.074147,2.696,16.241
pure_k3_1,"k=3, T=1",pure_size,3.0,0,0,1,1,57,0.697153,0.727273,5.048093,0.591392,-2.578,23.978
pure_k3_3,"k=3, T=3",pure_size,3.0,0,0,3,3,57,0.719084,0.75,15.144278,1.774177,-0.385,71.935
pure_k3_5,"k=3, T=5",pure_size,3.0,0,0,5,5,57,0.724406,0.740741,25.240464,2.956961,0.147,119.891
